code	name
8362	Farstrup,Aalborg
9152	Fonnesbæk,Ikast-Bran
9014	Rise,Aabenraa
7785	Korup,Odense
7762	Svanninge,Faab-Midtf
8749	Ringkøbing,Rin-Skjer
8074	Elev,Aarhus
9137	Askov,Vejen
8648	Vestervig,Thisted
7930	Eltang,Kolding
7193	Dragør,Dragør
8376	Hvorup,Aalborg
7836	N  Åby,Middelfart
8093	Hundslund,Odder
8724	Sjørring,Thisted
9078	Skt  Andreas,Randers
8812	Bording,Ikast-Brande
7392	Blistrup,Gribskov
8368	Vor  Frue,Aalborg
7492	Lellinge,Køge
8105	Mårslet,Aarhus
8600	Vinderslev,Silkeborg
7184	Sengeløse,H-Taastrup
9130	Mejdal,Holstebro
8985	Tyrstrup,Kolding
7408	Torup,Halsnæs
9099	Kvaglund,Esbjerg
8793	Hodsager,Herning
8198	Hobro,Mariagerfjord
7432	Græsted,Gribskov
7333	Vallensved,Næstved
9201	Feldborg,Herning
8987	Skodborg,Vejen
8349	Løgsted,Vesthimmerla
7234	Gierslev,Kalundborg
7912	Christians,Frcia
8777	Borris,Ringkø-Skjern
7109	Skt  Markus,Frbg
7966	Torsted,Horsens
8795	Nøvling,Herning
7688	Kværndrup,Faab-Midtf
8348	Løgstør,Vesthimmerla
9111	Skt  Jørgens,Næstved
7263	N  Asmindrup,Odsherre
7342	Stenmagle,Sorø
9167	Ørnhøj,Herning
7513	Aversi,Næstved
7360	Vemmelev,Slagelse
7395	Ramløse,Gribskov
7681	Egense,Svendborg
8805	Tjørring,Herning
8410	Vrensted,Hjørring
8556	Lem,Skive
8101	Fredens,Aarhus
7715	Rise,Ærø
7265	Grevinge,Odsherred
7874	Viby,Kerteminde
7430	Søborg,Gribskov
7341	Kr  Flinterup,Sorø
7337	Fyrendal,Næstved
8732	Hansted,Thisted
8447	Albæk-Lyngså,Fr.Havn
7632	Gloslunde,Lolland
7742	Simmerbølle,Langelan
8904	Aalestrup,Vesthimmer
9285	Langelund,Vejle
8346	Bælum,Rebild
8900	Bramming,Esbjerg
8407	Furreby,Hjørring
7886	Højby,Odense
9101	Bistrup,Hjørring
8787	Strellev,Varde
7735	Ørbæk,Nyborg
8736	V  Vandet,Thisted
7594	Majbølle,Guldborgsun
8973	Hammelev,Haderslev
9100	Bredballe,Vejle
7519	Glumsø,Næstved
8380	Biersted,Jammerbugt
8316	Hørby,Mariagerfjord
7441	Hornbæk,Helsingør
7779	Vor  Frue,Odense
8944	Vorbasse,Billund
7609	Torkilstrup,Guldborg
8129	Sønder  Årslev,Aarhus
7657	Fuglse,Lolland
8023	Voldby,Favrskov
7522	Faxe,Faxe
7036	Holmens,København
9029	Bov,Aabenraa
7406	Gørløse,Hillerød
7453	Gerlev,Frederikssund
7943	S  Stenderup,Kolding
7443	Egebæksvang,Helsingø
7438	Skt  Mariæ,Helsingør
7791	Stenløse,Odense
8265	Vivild,Norddjurs
8459	Sindal,Hjørring
8435	Flade,Frederikshavn
8456	Skt  Olai,Hjørring
8428	Mosbjerg,Hjørring
8429	Bindslev,Hjørring
7296	Kundby,Holbæk
7457	Vellerup,Frsund
7608	Maglebrænde,Guldborg
7174	Særløse,Lejre
7390	Slaglille,Sorø
8483	Uggerby,Hjørring
8457	Ugilt,Hjørring
8278	Giver,Vesthimmerland
8431	Tolne,Hjørring
8432	Hørmested,Hjørring
8424	Jetsmark,Jammerbugt
9217	Terndrup,Rebild
8426	Gjøl,Jammerbugt
9184	Arden,Mariagerfjord
8411	Thise,Brønderslev
8479	Bangsbostrand,Frhavn
7401	Tjæreby,Hillerød
7499	Toksværd,Næstved
8734	Nors,Thisted
8675	Solbjerg,Morsø
7936	Almind,Kolding
7979	S  Omme,Billund
7755	S  Broby,Faab-Midtfyn
8672	Bjergby,Morsø
8270	Haubro,Vesthimmerlan
9077	Sønderbro,Horsens
8464	Asdal,Hjørring
8468	Skallerup,Hjørring
8182	Skt  Peders,Randers
7983	Give,Vejle
7404	Ll  Lyngby,Hillerød
8279	Brorstrup,Rebild
8405	Hæstrup,Hjørring
8354	Vilsted,Vesthimmerla
7209	Glim,Lejre
7563	Ibsker,Bornholm
7557	Hasle,Bornholm
8757	Hover,Ringkøb-Skjern
7271	Tømmerup,Kalundborg
8344	N  Kongerslev,Aalborg
9151	Enghøj,Randers
8817	Gimsing,Struer
8874	Janderup,Varde
7515	Herlufmagle,Næstved
7566	Gudhjem,Bornholm
8989	Christians,Sønderbg
9149	Houlkær,Viborg
8644	Sennels,Thisted
7253	Værslev,Kalundborg
7911	Skt  Michaelis,Frcia
8125	Hasle,Aarhus
7350	Sønderup,Slagelse
8071	Trige,Aarhus
8066	Sabro,Aarhus
8334	Ø  Hornum,Rebild
8927	Holsted,Vejen
8931	Vejen,Vejen
9147	Skelager,Aarhus
8075	Sjelle,Skanderborg
8032	Låsby,Skanderborg
8992	Ulkebøl,Sønderborg
7719	Oure,Svendborg
8720	Arup,Thisted
7394	Tibirke,Gribskov
8467	Vidstrup,Hjørring
7388	Alsted,Sorø
7794	Tommerup,Assens
7635	Ryde,Lolland
9238	Sørup,Rebild
8156	Gassum,Randers
7470	Kastrup,Vordingborg
8231	Grenaa,Norddjurs
8097	Halling,Odder
9132	Virklund,Silkeborg
8785	Ådum,Ringkøb-Skjern
8146	Vorup,Randers
7505	V  Egesborg,Næstved
8403	Serritslev,Brønd.
7884	S  Nærå,Faab-Midtfyn
8451	Dronninglund,Brønd
