division	location
Midtjylland	Langaa
Hovedstaden	Allinge
Syddanmark	Augustenborg
Syddanmark	Gesten
Midtjylland	Vinderup
Sjaelland	Eskilstrup
Sjaelland	Stensved
Midtjylland	Ryomgaard
Nordjylland	Faarup
Midtjylland	Barrit
Nordjylland	Vadum
Midtjylland	Aulum
Midtjylland	Engesvang
Syddanmark	Skaerbaek
Sjaelland	Stroeby
Midtjylland	Solbjerg
Midtjylland	Thyboroen
Midtjylland	Bjerringbro
Syddanmark	Oksboel
Sjaelland	Vaeggerloese
Midtjylland	Trustrup
Syddanmark	Hoejer
Sjaelland	Idestrup
Sjaelland	Stokkemarke
Midtjylland	Lemming
Sjaelland	Asnaes
Sjaelland	Nysted
Syddanmark	Sommersted
Syddanmark	Vandel
Syddanmark	Gadbjerg
Midtjylland	Hvide Sande
Syddanmark	Hejnsvig
Syddanmark	Martofte
Sjaelland	Jerslev Sjaelland
Syddanmark	Baekke
Hovedstaden	Aakirkeby
Midtjylland	Knebel
Hubei	Wuhan
